,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
136,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
137,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
138,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
139,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
140,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
141,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
142,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
143,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
144,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
145,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Carving'],['600 x 1200'],['2'],['1.44'],['OutDoor_Tiles']
146,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Carving'],['600 x 1200'],['2'],['1.44'],['OutDoor_Tiles']
